,nav,cost,slippage,tax,turnover,n_holdings
2009-12-03,18030205.3855966,0.0,0.0,0.0,0.0,10
2009-12-04,18030571.179159198,0.0,0.0,0.0,0.0,10
2009-12-07,17789336.592995748,0.0,0.0,0.0,0.0,10
2009-12-08,17933032.300915174,0.0,0.0,0.0,0.0,10
2009-12-09,17885199.566567935,0.0,0.0,0.0,0.0,10
2009-12-10,17777599.02310825,0.0,0.0,0.0,0.0,10
2009-12-11,17930691.513418104,0.0,0.0,0.0,0.0,10
2009-12-14,17884603.995427832,0.0,0.0,0.0,0.0,10
2009-12-15,17694165.49741975,0.0,0.0,0.0,0.0,10
2009-12-16,17695859.26734783,0.0,0.0,0.0,0.0,10
2009-12-17,17635878.31707273,0.0,0.0,0.0,0.0,10
2009-12-18,17480954.500882044,0.0,0.0,0.0,0.0,10
2009-12-21,17352935.774367075,0.0,0.0,0.0,0.0,10
2009-12-22,17672414.812814962,0.0,0.0,0.0,0.0,10
2009-12-23,17978609.04029249,0.0,0.0,0.0,0.0,10
2009-12-24,18116891.551322844,0.0,0.0,0.0,0.0,10
2009-12-29,18258122.3754333,0.0,0.0,0.0,0.0,10
2009-12-30,18510485.7425409,0.0,0.0,0.0,0.0,10
2009-12-31,18624905.789544057,0.0,0.0,0.0,0.0,10
2010-01-04,18814534.652003195,18421.673715225552,23217.36562870134,287201.94985619077,12584150.132914938,10
2010-01-05,18999587.752677083,0.0,0.0,0.0,0.0,10
2010-01-06,18860811.92246927,0.0,0.0,0.0,0.0,10
2010-01-07,18787481.82419426,0.0,0.0,0.0,0.0,10
2010-01-08,18778451.257388003,0.0,0.0,0.0,0.0,10
2010-01-11,19264744.145498905,0.0,0.0,0.0,0.0,10
2010-01-12,19067460.735443514,0.0,0.0,0.0,0.0,10
2010-01-13,19066411.304826077,0.0,0.0,0.0,0.0,10
2010-01-14,19338450.676083192,0.0,0.0,0.0,0.0,10
2010-01-15,19318325.41718138,0.0,0.0,0.0,0.0,10
2010-01-18,19272981.744909924,0.0,0.0,0.0,0.0,10
2010-01-19,19284537.874004044,0.0,0.0,0.0,0.0,10
2010-01-20,19384658.209221438,0.0,0.0,0.0,0.0,10
2010-01-21,18941200.057608157,0.0,0.0,0.0,0.0,10
2010-01-22,18890540.181946177,0.0,0.0,0.0,0.0,10
2010-01-25,18543046.800078463,0.0,0.0,0.0,0.0,10
2010-01-27,17653896.17539754,0.0,0.0,0.0,0.0,10
2010-01-28,17708029.34210734,0.0,0.0,0.0,0.0,10
2010-01-29,17624904.127636284,0.0,0.0,0.0,0.0,10
2010-02-01,17946880.404976312,0.0,0.0,0.0,0.0,10
2010-02-02,17628037.29890847,0.0,0.0,0.0,0.0,10
2010-02-03,17761970.561945084,0.0,0.0,0.0,0.0,10
2010-02-04,17507449.01816338,0.0,0.0,0.0,0.0,10
2010-02-05,17293382.010579865,0.0,0.0,0.0,0.0,10
2010-02-08,17493934.27868089,0.0,0.0,0.0,0.0,10
2010-02-09,17451562.29538955,0.0,0.0,0.0,0.0,10
2010-02-10,17419970.839065537,0.0,0.0,0.0,0.0,10
2010-02-11,17522697.316147953,0.0,0.0,0.0,0.0,10
2010-02-15,17480188.96819056,0.0,0.0,0.0,0.0,10
2010-02-16,17522091.62497306,0.0,0.0,0.0,0.0,10
2010-02-17,17766691.535612915,0.0,0.0,0.0,0.0,10
2010-02-18,17578857.142456826,0.0,0.0,0.0,0.0,10
2010-02-19,17361459.003513064,0.0,0.0,0.0,0.0,10
2010-02-22,17430314.24408604,0.0,0.0,0.0,0.0,10
2010-02-23,17359886.064663373,0.0,0.0,0.0,0.0,10
2010-02-24,17538954.991209548,0.0,0.0,0.0,0.0,10
2010-02-25,17477508.296336304,0.0,0.0,0.0,0.0,10
2010-02-26,18092281.760725055,0.0,0.0,0.0,0.0,10
2010-03-02,18622309.83183586,0.0,0.0,0.0,0.0,10
2010-03-03,18765019.0507375,0.0,0.0,0.0,0.0,10
2010-03-04,18877199.779496513,0.0,0.0,0.0,0.0,10
2010-03-05,18851631.608559884,0.0,0.0,0.0,0.0,10
2010-03-08,18865801.11943378,0.0,0.0,0.0,0.0,10
2010-03-09,18759332.39139695,0.0,0.0,0.0,0.0,10
2010-03-10,18719589.972067825,0.0,0.0,0.0,0.0,10
2010-03-11,18582961.04700895,0.0,0.0,0.0,0.0,10
2010-03-12,18643075.808459718,0.0,0.0,0.0,0.0,10
2010-03-15,18590385.497736372,0.0,0.0,0.0,0.0,10
2010-03-16,18771249.598702695,0.0,0.0,0.0,0.0,10
2010-03-17,18750722.27246277,0.0,0.0,0.0,0.0,10
2010-03-18,18739042.417896893,0.0,0.0,0.0,0.0,10
2010-03-19,18882655.78666038,0.0,0.0,0.0,0.0,10
2010-03-22,18651431.897938885,0.0,0.0,0.0,0.0,10
2010-03-23,18772194.3727094,0.0,0.0,0.0,0.0,10
2010-03-25,18743549.2857217,0.0,0.0,0.0,0.0,10
2010-03-26,19044058.669609066,0.0,0.0,0.0,0.0,10
2010-03-29,19137415.61372747,0.0,0.0,0.0,0.0,10
2010-03-30,19267372.834774066,0.0,0.0,0.0,0.0,10
2010-03-31,19428886.783773996,0.0,0.0,0.0,0.0,10
2010-04-01,18706187.754406955,35968.790726101564,34259.520636732006,694417.1040912018,24507988.4165174,10
2010-04-05,19077553.988848735,0.0,0.0,0.0,0.0,10
2010-04-06,19109074.183610123,0.0,0.0,0.0,0.0,10
2010-04-07,19088809.30506867,0.0,0.0,0.0,0.0,10
2010-04-08,18835610.637400474,0.0,0.0,0.0,0.0,10
2010-04-09,19116910.4628469,0.0,0.0,0.0,0.0,10
2010-04-12,19077121.026995037,0.0,0.0,0.0,0.0,10
2010-04-13,19144908.62891074,0.0,0.0,0.0,0.0,10
2010-04-15,18978768.089623753,0.0,0.0,0.0,0.0,10
2010-04-16,19070637.240123745,0.0,0.0,0.0,0.0,10
2010-04-19,18854439.069063406,0.0,0.0,0.0,0.0,10
2010-04-20,19345588.007411774,0.0,0.0,0.0,0.0,10
2010-04-21,19794485.865289316,0.0,0.0,0.0,0.0,10
2010-04-22,19854444.62803739,0.0,0.0,0.0,0.0,10
2010-04-23,20023073.473776482,0.0,0.0,0.0,0.0,10
2010-04-26,20195624.44683514,0.0,0.0,0.0,0.0,10
2010-04-27,20306969.460268546,0.0,0.0,0.0,0.0,10
2010-04-28,20010319.620101724,0.0,0.0,0.0,0.0,10
2010-04-29,20601631.54478709,0.0,0.0,0.0,0.0,10
2010-04-30,20906265.400971536,0.0,0.0,0.0,0.0,10
2010-05-03,20788099.169618733,0.0,0.0,0.0,0.0,10
2010-05-04,20424120.33736573,0.0,0.0,0.0,0.0,10
2010-05-05,20635614.473243695,0.0,0.0,0.0,0.0,10
2010-05-06,20503106.009079933,0.0,0.0,0.0,0.0,10
2010-05-07,19650103.999317415,0.0,0.0,0.0,0.0,10
2010-05-10,20483770.162054982,0.0,0.0,0.0,0.0,10
2010-05-11,20661967.206805326,0.0,0.0,0.0,0.0,10
2010-05-12,20869302.854210634,0.0,0.0,0.0,0.0,10
2010-05-13,21479141.05381968,0.0,0.0,0.0,0.0,10
2010-05-14,21201524.495364737,0.0,0.0,0.0,0.0,10
2010-05-17,20939999.80271519,0.0,0.0,0.0,0.0,10
2010-05-18,20845377.09679867,0.0,0.0,0.0,0.0,10
2010-05-19,19873089.87066626,0.0,0.0,0.0,0.0,10
2010-05-20,19848160.062758975,0.0,0.0,0.0,0.0,10
2010-05-21,20032825.952538703,0.0,0.0,0.0,0.0,10
2010-05-24,19998308.57874187,0.0,0.0,0.0,0.0,10
2010-05-25,19133470.632867556,0.0,0.0,0.0,0.0,10
2010-05-26,19719830.80290379,0.0,0.0,0.0,0.0,10
2010-05-27,19828628.588633392,0.0,0.0,0.0,0.0,10
2010-05-28,20116932.60023994,0.0,0.0,0.0,0.0,10
2010-05-31,20246705.002086017,0.0,0.0,0.0,0.0,10
2010-06-01,19733953.05249389,0.0,0.0,0.0,0.0,10
2010-06-02,19886378.30754979,0.0,0.0,0.0,0.0,10
2010-06-03,20267849.321557544,0.0,0.0,0.0,0.0,10
2010-06-04,20512426.13510156,0.0,0.0,0.0,0.0,10
2010-06-07,19961156.050112117,0.0,0.0,0.0,0.0,10
2010-06-08,19849013.040788453,0.0,0.0,0.0,0.0,10
2010-06-09,20054549.479325444,0.0,0.0,0.0,0.0,10
2010-06-10,20377719.01084892,0.0,0.0,0.0,0.0,10
2010-06-11,20364794.329860464,0.0,0.0,0.0,0.0,10
2010-06-14,20575248.973392267,0.0,0.0,0.0,0.0,10
2010-06-15,20724416.19109799,0.0,0.0,0.0,0.0,10
2010-06-16,20626390.82722035,0.0,0.0,0.0,0.0,10
2010-06-17,20647268.93190055,0.0,0.0,0.0,0.0,10
2010-06-18,20444696.791451253,0.0,0.0,0.0,0.0,10
2010-06-21,20699812.69429528,0.0,0.0,0.0,0.0,10
2010-06-22,20822054.175565884,0.0,0.0,0.0,0.0,10
2010-06-23,20729864.26105447,0.0,0.0,0.0,0.0,10
2010-06-24,20863803.0308888,0.0,0.0,0.0,0.0,10
2010-06-25,20538433.952791754,0.0,0.0,0.0,0.0,10
2010-06-28,20747502.27507672,0.0,0.0,0.0,0.0,10
2010-06-29,20773491.358166076,0.0,0.0,0.0,0.0,10
2010-06-30,21072273.986994565,0.0,0.0,0.0,0.0,10
2010-07-01,20181837.079234887,23411.575899447453,20327.122759434227,642361.8352653328,15999753.780971915,10
2010-07-02,20137619.96999554,0.0,0.0,0.0,0.0,10
2010-07-05,20363577.72412984,0.0,0.0,0.0,0.0,10
2010-07-06,20629407.916914396,0.0,0.0,0.0,0.0,10
2010-07-07,20622135.105379518,0.0,0.0,0.0,0.0,10
2010-07-08,20794470.851483095,0.0,0.0,0.0,0.0,10
2010-07-09,20843183.047367416,0.0,0.0,0.0,0.0,10
2010-07-12,20975890.304973256,0.0,0.0,0.0,0.0,10
2010-07-13,21103889.042585805,0.0,0.0,0.0,0.0,10
2010-07-14,21080653.168010052,0.0,0.0,0.0,0.0,10
2010-07-15,21303444.522161756,0.0,0.0,0.0,0.0,10
2010-07-16,21606324.832586683,0.0,0.0,0.0,0.0,10
2010-07-19,21609878.0026922,0.0,0.0,0.0,0.0,10
2010-07-20,21451721.76996352,0.0,0.0,0.0,0.0,10
2010-07-21,21903858.41219181,0.0,0.0,0.0,0.0,10
2010-07-22,22002301.881940205,0.0,0.0,0.0,0.0,10
2010-07-23,21711950.83056844,0.0,0.0,0.0,0.0,10
2010-07-26,21721114.729678284,0.0,0.0,0.0,0.0,10
2010-07-27,22009253.9887059,0.0,0.0,0.0,0.0,10
2010-07-28,22065968.96163703,0.0,0.0,0.0,0.0,10
2010-07-29,22117153.653586376,0.0,0.0,0.0,0.0,10
2010-07-30,22109683.48878245,0.0,0.0,0.0,0.0,10
2010-08-02,22397805.751814786,0.0,0.0,0.0,0.0,10
2010-08-03,22541938.485123422,0.0,0.0,0.0,0.0,10
2010-08-04,22513467.86428737,0.0,0.0,0.0,0.0,10
2010-08-05,22739589.401435833,0.0,0.0,0.0,0.0,10
2010-08-06,22834637.95750948,0.0,0.0,0.0,0.0,10
2010-08-09,23185320.527935714,0.0,0.0,0.0,0.0,10
2010-08-10,23324373.171626642,0.0,0.0,0.0,0.0,10
2010-08-11,23353489.13459353,0.0,0.0,0.0,0.0,10
2010-08-12,23497007.691092994,0.0,0.0,0.0,0.0,10
2010-08-13,23694434.753269743,0.0,0.0,0.0,0.0,10
2010-08-16,23588001.248009544,0.0,0.0,0.0,0.0,10
2010-08-17,23586050.863728862,0.0,0.0,0.0,0.0,10
2010-08-18,23977934.418104135,0.0,0.0,0.0,0.0,10
2010-08-19,24170468.544922125,0.0,0.0,0.0,0.0,10
2010-08-20,24329886.54997978,0.0,0.0,0.0,0.0,10
2010-08-23,24403633.527138595,0.0,0.0,0.0,0.0,10
2010-08-24,24245256.21589518,0.0,0.0,0.0,0.0,10
2010-08-25,23911040.197632093,0.0,0.0,0.0,0.0,10
2010-08-26,24316127.988936547,0.0,0.0,0.0,0.0,10
2010-08-27,23974194.857698303,0.0,0.0,0.0,0.0,10
2010-08-30,23972441.11509916,0.0,0.0,0.0,0.0,10
2010-08-31,24080945.38078649,0.0,0.0,0.0,0.0,10
2010-09-01,24693623.163132656,0.0,0.0,0.0,0.0,10
2010-09-02,24769593.370678753,0.0,0.0,0.0,0.0,10
2010-09-03,24966076.406598788,0.0,0.0,0.0,0.0,10
2010-09-06,25649962.27719205,0.0,0.0,0.0,0.0,10
2010-09-07,25793972.639153913,0.0,0.0,0.0,0.0,10
2010-09-08,25957240.939149186,0.0,0.0,0.0,0.0,10
2010-09-09,26034807.751766253,0.0,0.0,0.0,0.0,10
2010-09-13,26267665.919777103,0.0,0.0,0.0,0.0,10
2010-09-14,26174689.044431515,0.0,0.0,0.0,0.0,10
2010-09-15,26101628.605408218,0.0,0.0,0.0,0.0,10
2010-09-16,26137873.562919855,0.0,0.0,0.0,0.0,10
2010-09-17,26805332.347880777,0.0,0.0,0.0,0.0,10
2010-09-20,26777471.956393376,0.0,0.0,0.0,0.0,10
2010-09-21,26501233.99857484,0.0,0.0,0.0,0.0,10
2010-09-22,26192884.755047772,0.0,0.0,0.0,0.0,10
2010-09-23,26121763.4729285,0.0,0.0,0.0,0.0,10
2010-09-24,26279238.949015822,0.0,0.0,0.0,0.0,10
2010-09-27,26652072.939332534,0.0,0.0,0.0,0.0,10
2010-09-28,26516771.999508426,0.0,0.0,0.0,0.0,10
2010-09-29,26524082.97900118,0.0,0.0,0.0,0.0,10
2010-09-30,26445039.872802537,0.0,0.0,0.0,0.0,10
2010-10-01,26433772.16211202,32876.81662731378,21875.109750180734,405507.94419657765,22452656.598592635,10
2010-10-04,26558503.654233325,0.0,0.0,0.0,0.0,10
2010-10-05,26594323.120807413,0.0,0.0,0.0,0.0,10
2010-10-06,27078449.075868364,0.0,0.0,0.0,0.0,10
2010-10-07,26956428.95818333,0.0,0.0,0.0,0.0,10
2010-10-08,26638730.490339354,0.0,0.0,0.0,0.0,10
