,nav,cost,slippage,tax,turnover,n_holdings
2004-01-26,3346815.5296927225,0.0,0.0,0.0,0.0,10
2004-01-27,3316576.6163543253,0.0,0.0,0.0,0.0,10
2004-01-28,3241863.2722381866,0.0,0.0,0.0,0.0,10
2004-01-29,3196284.836863178,0.0,0.0,0.0,0.0,10
2004-01-30,3246996.994541805,0.0,0.0,0.0,0.0,10
2004-02-02,3258544.055457542,0.0,0.0,0.0,0.0,10
2004-02-03,3247442.9693003674,0.0,0.0,0.0,0.0,10
2004-02-04,3141896.6529600434,0.0,0.0,0.0,0.0,10
2004-02-05,3187817.123902409,0.0,0.0,0.0,0.0,10
2004-02-06,3310160.8395336866,0.0,0.0,0.0,0.0,10
2004-02-09,3345312.114471191,0.0,0.0,0.0,0.0,10
2004-02-10,3368255.25919081,0.0,0.0,0.0,0.0,10
2004-02-11,3534971.8223835994,0.0,0.0,0.0,0.0,10
2004-02-12,3619339.8573686476,0.0,0.0,0.0,0.0,10
2004-02-13,3647581.6415516194,0.0,0.0,0.0,0.0,10
2004-02-17,3674419.02572725,0.0,0.0,0.0,0.0,10
2004-02-18,3702044.7435997846,0.0,0.0,0.0,0.0,10
2004-02-19,3574365.3051886302,0.0,0.0,0.0,0.0,10
2004-02-20,3574744.3200116004,0.0,0.0,0.0,0.0,10
2004-02-23,3448322.1319499407,0.0,0.0,0.0,0.0,10
2004-02-24,3362010.9699464077,0.0,0.0,0.0,0.0,10
2004-02-25,3444622.2975333342,0.0,0.0,0.0,0.0,10
2004-02-26,3503212.783307626,0.0,0.0,0.0,0.0,10
2004-02-27,3589033.06944748,0.0,0.0,0.0,0.0,10
2004-03-01,3609377.6579746963,0.0,0.0,0.0,0.0,10
2004-03-02,3539704.913243889,0.0,0.0,0.0,0.0,10
2004-03-03,3523491.768459039,0.0,0.0,0.0,0.0,10
2004-03-04,3612768.437619903,0.0,0.0,0.0,0.0,10
2004-03-05,3582554.1358131235,0.0,0.0,0.0,0.0,10
2004-03-08,3586582.1962354816,0.0,0.0,0.0,0.0,10
2004-03-09,3501500.4267810546,0.0,0.0,0.0,0.0,10
2004-03-10,3472518.4641618747,0.0,0.0,0.0,0.0,10
2004-03-11,3420622.47659674,0.0,0.0,0.0,0.0,10
2004-03-12,3529985.289778416,0.0,0.0,0.0,0.0,10
2004-03-15,3442374.115269015,0.0,0.0,0.0,0.0,10
2004-03-16,3439921.9541533673,0.0,0.0,0.0,0.0,10
2004-03-17,3527230.600208492,0.0,0.0,0.0,0.0,10
2004-03-18,3588301.7576831714,0.0,0.0,0.0,0.0,10
2004-03-19,3526190.8469374464,0.0,0.0,0.0,0.0,10
2004-03-22,3382930.153627707,0.0,0.0,0.0,0.0,10
2004-03-23,3352046.4224293265,0.0,0.0,0.0,0.0,10
2004-03-24,3385122.8875923697,0.0,0.0,0.0,0.0,10
2004-03-25,3546758.673779523,0.0,0.0,0.0,0.0,10
2004-03-26,3631432.9346007532,0.0,0.0,0.0,0.0,10
2004-03-29,3811200.1589385206,0.0,0.0,0.0,0.0,10
2004-03-30,3931063.6362584042,0.0,0.0,0.0,0.0,10
2004-03-31,3940844.1622507693,0.0,0.0,0.0,0.0,10
2004-04-01,3859085.5368826496,105.29195052591402,3451.1675112104012,208580.22678512166,3509731.6841971334,10
2004-04-02,3934322.8515333454,0.0,0.0,0.0,0.0,10
2004-04-05,3948763.8621646166,0.0,0.0,0.0,0.0,10
2004-04-06,3953059.6029285695,0.0,0.0,0.0,0.0,10
2004-04-07,3959368.8580168225,0.0,0.0,0.0,0.0,10
2004-04-08,4029145.5997381113,0.0,0.0,0.0,0.0,10
2004-04-12,4037503.5520166154,0.0,0.0,0.0,0.0,10
2004-04-13,3944113.684790854,0.0,0.0,0.0,0.0,10
2004-04-14,3924080.9403549647,0.0,0.0,0.0,0.0,10
2004-04-15,3862031.3522474477,0.0,0.0,0.0,0.0,10
2004-04-16,3813560.850593976,0.0,0.0,0.0,0.0,10
2004-04-19,3890716.0516190217,0.0,0.0,0.0,0.0,10
2004-04-20,3636832.414626355,0.0,0.0,0.0,0.0,10
2004-04-21,3650064.0771664097,0.0,0.0,0.0,0.0,10
2004-04-22,3699773.277269806,0.0,0.0,0.0,0.0,10
2004-04-23,3692674.6158153987,0.0,0.0,0.0,0.0,10
2004-04-26,3701031.7765618945,0.0,0.0,0.0,0.0,10
2004-04-27,3618085.777935472,0.0,0.0,0.0,0.0,10
2004-04-28,3491784.948742229,0.0,0.0,0.0,0.0,10
2004-04-29,3382479.7304194714,0.0,0.0,0.0,0.0,10
2004-04-30,3276979.3181007258,0.0,0.0,0.0,0.0,10
2004-05-03,3308552.15660452,0.0,0.0,0.0,0.0,10
2004-05-04,3351418.025044278,0.0,0.0,0.0,0.0,10
2004-05-05,3360661.547575583,0.0,0.0,0.0,0.0,10
2004-05-06,3376066.1166092358,0.0,0.0,0.0,0.0,10
2004-05-07,3461050.5589161473,0.0,0.0,0.0,0.0,10
2004-05-10,3385436.8714047945,0.0,0.0,0.0,0.0,10
2004-05-11,3528107.274989087,0.0,0.0,0.0,0.0,10
2004-05-12,3505559.2652287497,0.0,0.0,0.0,0.0,10
2004-05-13,3470095.9762837337,0.0,0.0,0.0,0.0,10
2004-05-14,3445885.7521219007,0.0,0.0,0.0,0.0,10
2004-05-17,3427846.412030327,0.0,0.0,0.0,0.0,10
2004-05-18,3449396.69075515,0.0,0.0,0.0,0.0,10
2004-05-19,3464690.526427143,0.0,0.0,0.0,0.0,10
2004-05-20,3422840.4736572825,0.0,0.0,0.0,0.0,10
2004-05-21,3547387.7033319464,0.0,0.0,0.0,0.0,10
2004-05-24,3612515.2433157125,0.0,0.0,0.0,0.0,10
2004-05-25,3695813.901653425,0.0,0.0,0.0,0.0,10
2004-05-26,3749616.1900396207,0.0,0.0,0.0,0.0,10
2004-05-27,3852531.44802691,0.0,0.0,0.0,0.0,10
2004-05-28,3878401.6448206636,0.0,0.0,0.0,0.0,10
2004-06-01,3850229.9702112097,0.0,0.0,0.0,0.0,10
2004-06-02,3815414.5915388544,0.0,0.0,0.0,0.0,10
2004-06-03,3671770.0238341014,0.0,0.0,0.0,0.0,10
2004-06-04,3682487.4198502367,0.0,0.0,0.0,0.0,10
2004-06-07,3745696.198347331,0.0,0.0,0.0,0.0,10
2004-06-08,3771788.8147939686,0.0,0.0,0.0,0.0,10
2004-06-09,3673249.843258792,0.0,0.0,0.0,0.0,10
2004-06-10,3660113.103446751,0.0,0.0,0.0,0.0,10
2004-06-14,3654919.0219139894,0.0,0.0,0.0,0.0,10
2004-06-15,3698169.5162443076,0.0,0.0,0.0,0.0,10
2004-06-16,3735734.910522522,0.0,0.0,0.0,0.0,10
2004-06-17,3708466.3577258047,0.0,0.0,0.0,0.0,10
2004-06-18,3764544.8941451004,0.0,0.0,0.0,0.0,10
2004-06-21,3661458.364805996,0.0,0.0,0.0,0.0,10
2004-06-22,3690878.6448643883,0.0,0.0,0.0,0.0,10
2004-06-23,3838599.013341741,0.0,0.0,0.0,0.0,10
2004-06-24,3885945.058510953,0.0,0.0,0.0,0.0,10
2004-06-25,4009252.382049156,0.0,0.0,0.0,0.0,10
2004-06-28,4007401.092425745,0.0,0.0,0.0,0.0,10
2004-06-29,4033707.6471154387,0.0,0.0,0.0,0.0,10
2004-06-30,4145811.01977882,0.0,0.0,0.0,0.0,10
2004-07-01,3948915.820457552,83.15828095871402,3299.7634715122595,69188.16175596062,2771942.6986238007,10
2004-07-02,3883449.824544496,0.0,0.0,0.0,0.0,10
2004-07-06,3822197.4331338345,0.0,0.0,0.0,0.0,10
2004-07-07,3773947.7243955643,0.0,0.0,0.0,0.0,10
2004-07-08,3702035.448364659,0.0,0.0,0.0,0.0,10
2004-07-09,3687321.181041732,0.0,0.0,0.0,0.0,10
2004-07-12,3629217.1844573678,0.0,0.0,0.0,0.0,10
2004-07-13,3626797.2918249746,0.0,0.0,0.0,0.0,10
2004-07-14,3581319.832604394,0.0,0.0,0.0,0.0,10
2004-07-15,3606399.9924951307,0.0,0.0,0.0,0.0,10
2004-07-16,3504060.3478758847,0.0,0.0,0.0,0.0,10
2004-07-19,3361507.2771273004,0.0,0.0,0.0,0.0,10
2004-07-20,3390976.7265336327,0.0,0.0,0.0,0.0,10
2004-07-21,3274607.280187944,0.0,0.0,0.0,0.0,10
2004-07-22,3240498.541427711,0.0,0.0,0.0,0.0,10
2004-07-23,3142699.935622853,0.0,0.0,0.0,0.0,10
2004-07-26,3062710.5971973566,0.0,0.0,0.0,0.0,10
2004-07-27,3161730.95005305,0.0,0.0,0.0,0.0,10
2004-07-28,3147257.7722164583,0.0,0.0,0.0,0.0,10
